strategy,seed,noise_rate,n_reviews,precision,recall,f1,accuracy,fpr,n_flagged,n_positive,roc_auc,average_precision
preference_model,1,0.0,0,0.92,0.92,0.92,0.9973333333333333,0.0013559322033898306,50,50,0.9990983050847457,0.9386548962703175
preference_model,1,0.0,10,0.92,0.92,0.92,0.9973333333333333,0.0013559322033898306,50,50,0.9990983050847457,0.9386548962703175
preference_model,1,0.0,20,1.0,1.0,1.0,1.0,0.0,50,50,1.0,1.0
preference_model,1,0.0,30,1.0,1.0,1.0,1.0,0.0,50,50,1.0,1.0
preference_model,1,0.0,40,1.0,1.0,1.0,1.0,0.0,50,50,1.0,1.0
preference_model,1,0.0,50,1.0,1.0,1.0,1.0,0.0,50,50,1.0,1.0
preference_model,1,0.0,60,1.0,1.0,1.0,1.0,0.0,50,50,0.9999999999999999,1.0
preference_model,1,0.0,70,1.0,1.0,1.0,1.0,0.0,50,50,1.0,1.0
preference_model,1,0.0,80,1.0,1.0,1.0,1.0,0.0,50,50,1.0,1.0
active_learning,0,0.0,0,0.92,0.92,0.92,0.9973333333333333,0.0013559322033898306,50,50,0.9991864406779661,0.9344842682259649
active_learning,0,0.0,10,0.92,0.92,0.92,0.9973333333333333,0.0013559322033898306,50,50,0.9991864406779661,0.9344842682259649
active_learning,0,0.0,20,1.0,1.0,1.0,1.0,0.0,50,50,1.0,1.0
active_learning,0,0.0,30,1.0,1.0,1.0,1.0,0.0,50,50,1.0,1.0
active_learning,0,0.0,40,1.0,1.0,1.0,1.0,0.0,50,50,1.0,1.0
active_learning,0,0.0,50,1.0,1.0,1.0,1.0,0.0,50,50,1.0,1.0
active_learning,0,0.0,60,1.0,1.0,1.0,1.0,0.0,50,50,1.0,1.0
active_learning,0,0.0,70,1.0,1.0,1.0,1.0,0.0,50,50,1.0,1.0
active_learning,0,0.0,80,1.0,1.0,1.0,1.0,0.0,50,50,1.0,1.0
active_learning,1,0.0,0,0.92,0.92,0.92,0.9973333333333333,0.0013559322033898306,50,50,0.9990983050847457,0.9386548962703175
active_learning,1,0.0,10,0.92,0.92,0.92,0.9973333333333333,0.0013559322033898306,50,50,0.9990983050847457,0.9386548962703175
active_learning,1,0.0,20,1.0,1.0,1.0,1.0,0.0,50,50,1.0,1.0
active_learning,1,0.0,30,1.0,1.0,1.0,1.0,0.0,50,50,1.0,1.0
